#fabulous	sentimentScore=7.526	numPositive=2301	numNegative=2
#excellent	sentimentScore=7.247	numPositive=2612	numNegative=3
#superb	sentimentScore=7.199	numPositive=1660	numNegative=2
#perfection	sentimentScore=7.099	numPositive=3004	numNegative=4
#terrific	sentimentScore=6.922	numPositive=629	numNegative=1
#magnificent	sentimentScore=6.672	numPositive=490	numNegative=1
#sensational	sentimentScore=6.529	numPositive=849	numNegative=2
#heavenly	sentimentScore=6.484	numPositive=2841	numNegative=7
#ideal	sentimentScore=6.461	numPositive=3172	numNegative=8
#partytime	sentimentScore=6.111	numPositive=559	numNegative=2
#excellence	sentimentScore=5.875	numPositive=1325	numNegative=6
@thisisangel	sentimentScore=5.858	numPositive=217	numNegative=1
#cannes	sentimentScore=5	numPositive=9	numNegative=0
choccie	sentimentScore=5	numPositive=5	numNegative=0
photogenius	sentimentScore=5	numPositive=8	numNegative=0
perb	sentimentScore=5	numPositive=5	numNegative=0
#dordogne	sentimentScore=5	numPositive=6	numNegative=0
ealy	sentimentScore=5	numPositive=6	numNegative=0
#partyon	sentimentScore=5	numPositive=70	numNegative=0
#phenomenal	sentimentScore=5	numPositive=19	numNegative=0
@jonyrae_	sentimentScore=5	numPositive=5	numNegative=0
#nameaweakness	sentimentScore=5	numPositive=5	numNegative=0
@monepris	sentimentScore=5	numPositive=6	numNegative=0
chutney	sentimentScore=5	numPositive=7	numNegative=0
@franklinmissy	sentimentScore=5	numPositive=12	numNegative=0
#svsc	sentimentScore=5	numPositive=5	numNegative=0
boudia	sentimentScore=5	numPositive=5	numNegative=0
@kathjenkins	sentimentScore=5	numPositive=6	numNegative=0
#layin	sentimentScore=5	numPositive=5	numNegative=0
#sosoft	sentimentScore=5	numPositive=12	numNegative=0
mcmorrow	sentimentScore=5	numPositive=7	numNegative=0
#lovingthis	sentimentScore=5	numPositive=5	numNegative=0
mahatma	sentimentScore=5	numPositive=10	numNegative=0
@melanieiglesias	sentimentScore=5	numPositive=7	numNegative=0
@chachigonzales	sentimentScore=5	numPositive=6	numNegative=0
#meeting	sentimentScore=5	numPositive=5	numNegative=0
@theblackkeys	sentimentScore=5	numPositive=6	numNegative=0
#gotit	sentimentScore=5	numPositive=55	numNegative=0
@idealhq	sentimentScore=5	numPositive=5	numNegative=0
#purebliss	sentimentScore=5	numPositive=8	numNegative=0
grange	sentimentScore=5	numPositive=5	numNegative=0
tempur	sentimentScore=5	numPositive=6	numNegative=0
#sunset	sentimentScore=5	numPositive=9	numNegative=0
#stellar	sentimentScore=5	numPositive=5	numNegative=0
#vsnicelist	sentimentScore=5	numPositive=5	numNegative=0
#smellssogood	sentimentScore=5	numPositive=6	numNegative=0
#007	sentimentScore=5	numPositive=7	numNegative=0
forgework	sentimentScore=5	numPositive=6	numNegative=0
forster	sentimentScore=5	numPositive=16	numNegative=0
#nothingfeelsbetterthan	sentimentScore=5	numPositive=19	numNegative=0
#mmmmm	sentimentScore=5	numPositive=10	numNegative=0
frapp	sentimentScore=5	numPositive=7	numNegative=0
#handsome	sentimentScore=5	numPositive=29	numNegative=0
godin	sentimentScore=5	numPositive=8	numNegative=0
lounger	sentimentScore=5	numPositive=9	numNegative=0
honeycomb	sentimentScore=5	numPositive=7	numNegative=0
inshallah	sentimentScore=5	numPositive=6	numNegative=0
@lukey_stan13	sentimentScore=5	numPositive=5	numNegative=0
#stronger	sentimentScore=5	numPositive=5	numNegative=0
#shimmering	sentimentScore=5	numPositive=18	numNegative=0
#affirmation	sentimentScore=5	numPositive=9	numNegative=0
glide	sentimentScore=5	numPositive=5	numNegative=0
#innovation	sentimentScore=5	numPositive=25	numNegative=0
#europe	sentimentScore=5	numPositive=8	numNegative=0
sigur	sentimentScore=5	numPositive=8	numNegative=0
@hit_boy	sentimentScore=5	numPositive=11	numNegative=0
#amaze	sentimentScore=5	numPositive=5	numNegative=0
@lindseystirling	sentimentScore=5	numPositive=5	numNegative=0
@youmeatsix	sentimentScore=5	numPositive=6	numNegative=0
#honor	sentimentScore=5	numPositive=10	numNegative=0
#persistence	sentimentScore=5	numPositive=9	numNegative=0
#crisp	sentimentScore=5	numPositive=5	numNegative=0
godbless	sentimentScore=5	numPositive=6	numNegative=0
chobani	sentimentScore=5	numPositive=13	numNegative=0
#refreshing	sentimentScore=5	numPositive=11	numNegative=0
@sftware4sale	sentimentScore=5	numPositive=10	numNegative=0
@officialkimora	sentimentScore=5	numPositive=9	numNegative=0
#smashing	sentimentScore=5	numPositive=22	numNegative=0
#positiveabe	sentimentScore=5	numPositive=7	numNegative=0
#jammin	sentimentScore=5	numPositive=7	numNegative=0
@lillyghalichi	sentimentScore=5	numPositive=10	numNegative=0
buen	sentimentScore=5	numPositive=5	numNegative=0
saina	sentimentScore=5	numPositive=8	numNegative=0
aiko	sentimentScore=5	numPositive=6	numNegative=0
mastering	sentimentScore=5	numPositive=7	numNegative=0
iglesias	sentimentScore=5	numPositive=12	numNegative=0
#trulyxmas	sentimentScore=5	numPositive=6	numNegative=0
marquette	sentimentScore=5	numPositive=5	numNegative=0
somerhalder	sentimentScore=5	numPositive=7	numNegative=0
#newfavorite	sentimentScore=5	numPositive=5	numNegative=0
melodic	sentimentScore=5	numPositive=5	numNegative=0
#ytpoli	sentimentScore=5	numPositive=5	numNegative=0
#classact	sentimentScore=5	numPositive=7	numNegative=0
#entourage	sentimentScore=5	numPositive=5	numNegative=0
@dynamomagician	sentimentScore=5	numPositive=14	numNegative=0
dmb	sentimentScore=5	numPositive=10	numNegative=0
@skylarastin	sentimentScore=5	numPositive=11	numNegative=0
#inspire	sentimentScore=5	numPositive=20	numNegative=0
#designer	sentimentScore=5	numPositive=5	numNegative=0
talkative	sentimentScore=5	numPositive=7	numNegative=0
ifc	sentimentScore=5	numPositive=5	numNegative=0
#garth	sentimentScore=5	numPositive=5	numNegative=0
#meaningful	sentimentScore=5	numPositive=5	numNegative=0
@labrinthda1st	sentimentScore=5	numPositive=17	numNegative=0
#highheels	sentimentScore=5	numPositive=5	numNegative=0
jalapeno	sentimentScore=5	numPositive=11	numNegative=0
#chefboyardee	sentimentScore=5	numPositive=10	numNegative=0
#nightmade	sentimentScore=5	numPositive=10	numNegative=0
yachts	sentimentScore=5	numPositive=5	numNegative=0
bodyguard	sentimentScore=5	numPositive=6	numNegative=0
#happythoughts	sentimentScore=5	numPositive=10	numNegative=0
#newday	sentimentScore=5	numPositive=13	numNegative=0
listneing	sentimentScore=5	numPositive=5	numNegative=0
oooohhh	sentimentScore=5	numPositive=5	numNegative=0
#soothing	sentimentScore=5	numPositive=17	numNegative=0
@davidboudia	sentimentScore=5	numPositive=6	numNegative=0
#stupendous	sentimentScore=5	numPositive=11	numNegative=0
bocelli	sentimentScore=5	numPositive=6	numNegative=0
christy	sentimentScore=5	numPositive=6	numNegative=0
splenda	sentimentScore=5	numPositive=7	numNegative=0
#tremendous	sentimentScore=5	numPositive=13	numNegative=0
#competition	sentimentScore=5	numPositive=10	numNegative=0
flatbread	sentimentScore=5	numPositive=5	numNegative=0
tubbing	sentimentScore=5	numPositive=7	numNegative=0
#igotthis	sentimentScore=5	numPositive=6	numNegative=0
#queenb	sentimentScore=5	numPositive=7	numNegative=0
#expectations	sentimentScore=5	numPositive=5	numNegative=0
#boyfriends	sentimentScore=5	numPositive=5	numNegative=0
#networking	sentimentScore=5	numPositive=5	numNegative=0
#onrepeat	sentimentScore=5	numPositive=13	numNegative=0
@thescript_danny	sentimentScore=5	numPositive=6	numNegative=0
#fighter	sentimentScore=5	numPositive=8	numNegative=0
#swell	sentimentScore=5	numPositive=9	numNegative=0
#bam	sentimentScore=5	numPositive=5	numNegative=0
brookfield	sentimentScore=5	numPositive=5	numNegative=0
@kyla_ross96	sentimentScore=5	numPositive=5	numNegative=0
@danieladcock14	sentimentScore=5	numPositive=5	numNegative=0
fireside	sentimentScore=5	numPositive=6	numNegative=0
@boyceavenue	sentimentScore=5	numPositive=8	numNegative=0
bundled	sentimentScore=5	numPositive=11	numNegative=0
#tweetyourweakness	sentimentScore=5	numPositive=5	numNegative=0
#nativeawesome	sentimentScore=5	numPositive=9	numNegative=0
#yeahbuddy	sentimentScore=5	numPositive=7	numNegative=0
bevies	sentimentScore=5	numPositive=5	numNegative=0
#aristotle	sentimentScore=5	numPositive=6	numNegative=0
#getmotivated	sentimentScore=5	numPositive=5	numNegative=0
383834	sentimentScore=5	numPositive=5	numNegative=0
#newfav	sentimentScore=5	numPositive=5	numNegative=0
#quick	sentimentScore=5	numPositive=6	numNegative=0
twinkling	sentimentScore=5	numPositive=5	numNegative=0
#inawe	sentimentScore=5	numPositive=8	numNegative=0
#excitement	sentimentScore=5	numPositive=8	numNegative=0
#custom	sentimentScore=5	numPositive=5	numNegative=0
necessitate	sentimentScore=5	numPositive=5	numNegative=0
#meanttobe	sentimentScore=5	numPositive=6	numNegative=0
ecolabelling	sentimentScore=5	numPositive=7	numNegative=0
#marvel	sentimentScore=5	numPositive=7	numNegative=0
#feast	sentimentScore=5	numPositive=5	numNegative=0
#boyceavenue	sentimentScore=5	numPositive=5	numNegative=0
amina	sentimentScore=5	numPositive=8	numNegative=0
#godlike	sentimentScore=5	numPositive=5	numNegative=0
@victoriabeckham	sentimentScore=5	numPositive=14	numNegative=0
districts	sentimentScore=5	numPositive=5	numNegative=0
@eljefeoflagos	sentimentScore=5	numPositive=6	numNegative=0
draper	sentimentScore=5	numPositive=8	numNegative=0
#growth	sentimentScore=5	numPositive=14	numNegative=0
yardstick	sentimentScore=5	numPositive=6	numNegative=0
#highhopes	sentimentScore=5	numPositive=7	numNegative=0
sarni	sentimentScore=5	numPositive=7	numNegative=0
@dezduron	sentimentScore=5	numPositive=10	numNegative=0
#gv	sentimentScore=5	numPositive=10	numNegative=0
#suitup	sentimentScore=5	numPositive=6	numNegative=0
#scholarship	sentimentScore=5	numPositive=8	numNegative=0
dimitar	sentimentScore=5	numPositive=7	numNegative=0
#writers	sentimentScore=5	numPositive=11	numNegative=0
#stella	sentimentScore=5	numPositive=5	numNegative=0
#reem	sentimentScore=5	numPositive=8	numNegative=0
#hardworkpaysoff	sentimentScore=5	numPositive=5	numNegative=0
#22	sentimentScore=5	numPositive=6	numNegative=0
kirani	sentimentScore=5	numPositive=6	numNegative=0
wyld	sentimentScore=5	numPositive=7	numNegative=0
truckers	sentimentScore=5	numPositive=5	numNegative=0
@fifthharmony	sentimentScore=5	numPositive=7	numNegative=0
#strive	sentimentScore=5	numPositive=10	numNegative=0
#getanswers	sentimentScore=5	numPositive=6	numNegative=0
#spaday	sentimentScore=5	numPositive=5	numNegative=0
@rickiefowlerpga	sentimentScore=5	numPositive=8	numNegative=0
rotator	sentimentScore=5	numPositive=5	numNegative=0
#champions	sentimentScore=5	numPositive=8	numNegative=0
#glamorous	sentimentScore=5	numPositive=16	numNegative=0
#cali	sentimentScore=5	numPositive=5	numNegative=0
#character	sentimentScore=5	numPositive=12	numNegative=0
#remarkable	sentimentScore=5	numPositive=6	numNegative=0
hur	sentimentScore=5	numPositive=7	numNegative=0
@jheneaiko	sentimentScore=5	numPositive=8	numNegative=0
sourdough	sentimentScore=5	numPositive=7	numNegative=0
#ticket	sentimentScore=5	numPositive=6	numNegative=0
#polite	sentimentScore=5	numPositive=9	numNegative=0
winstanley	sentimentScore=5	numPositive=6	numNegative=0
w/friends	sentimentScore=5	numPositive=80	numNegative=0
#prince	sentimentScore=5	numPositive=6	numNegative=0
@bradcharles82	sentimentScore=5	numPositive=6	numNegative=0
redmayne	sentimentScore=5	numPositive=11	numNegative=0
succesful	sentimentScore=5	numPositive=5	numNegative=0
@dustinlynch	sentimentScore=5	numPositive=5	numNegative=0
ducky	sentimentScore=5	numPositive=5	numNegative=0
#bestnightever	sentimentScore=5	numPositive=7	numNegative=0
#theshit	sentimentScore=5	numPositive=5	numNegative=0
mcvities	sentimentScore=5	numPositive=5	numNegative=0
#prestige	sentimentScore=5	numPositive=44	numNegative=0
#acoustic	sentimentScore=5	numPositive=11	numNegative=0
#everclear	sentimentScore=5	numPositive=12	numNegative=0
cranked	sentimentScore=5	numPositive=9	numNegative=0
@deafhavana	sentimentScore=5	numPositive=6	numNegative=0
@milesjai	sentimentScore=5	numPositive=5	numNegative=0
#thingsilove	sentimentScore=5	numPositive=7	numNegative=0
#voiceofanangel	sentimentScore=5	numPositive=11	numNegative=0
neurotic	sentimentScore=5	numPositive=27	numNegative=0
#creation	sentimentScore=5	numPositive=8	numNegative=0
#wild	sentimentScore=5	numPositive=9	numNegative=0
#godly	sentimentScore=5	numPositive=6	numNegative=0
pancetta	sentimentScore=5	numPositive=6	numNegative=0
#buckeyenation	sentimentScore=5	numPositive=5	numNegative=0
outdid	sentimentScore=5	numPositive=6	numNegative=0
@_macwhite	sentimentScore=5	numPositive=5	numNegative=0
pavlova	sentimentScore=5	numPositive=5	numNegative=0
#atl	sentimentScore=5	numPositive=6	numNegative=0
avocados	sentimentScore=5	numPositive=6	numNegative=0
cheesesteak	sentimentScore=5	numPositive=6	numNegative=0
#20songsthatilike	sentimentScore=5	numPositive=9	numNegative=0
#pop	sentimentScore=5	numPositive=8	numNegative=0
#songsthatwillnevergetold	sentimentScore=5	numPositive=6	numNegative=0
#suspension	sentimentScore=5	numPositive=5	numNegative=0
@elissakh	sentimentScore=5	numPositive=6	numNegative=0
#driven	sentimentScore=5	numPositive=6	numNegative=0
jimjams	sentimentScore=5	numPositive=5	numNegative=0
avenged	sentimentScore=5	numPositive=9	numNegative=0
unwind	sentimentScore=5	numPositive=6	numNegative=0
beyonces	sentimentScore=5	numPositive=10	numNegative=0
#yummm	sentimentScore=5	numPositive=6	numNegative=0
@dalesteyn62	sentimentScore=5	numPositive=5	numNegative=0
asiago	sentimentScore=5	numPositive=8	numNegative=0
#orgasm	sentimentScore=5	numPositive=7	numNegative=0
niceeee	sentimentScore=5	numPositive=5	numNegative=0
camembert	sentimentScore=5	numPositive=6	numNegative=0
acupuncture	sentimentScore=5	numPositive=6	numNegative=0
faiths	sentimentScore=5	numPositive=5	numNegative=0
drugstore	sentimentScore=5	numPositive=5	numNegative=0
#myboyfriend	sentimentScore=5	numPositive=6	numNegative=0
#salsa	sentimentScore=5	numPositive=5	numNegative=0
selamat	sentimentScore=5	numPositive=5	numNegative=0
#goodlooking	sentimentScore=5	numPositive=6	numNegative=0
athlone	sentimentScore=5	numPositive=5	numNegative=0
#hotness	sentimentScore=5	numPositive=6	numNegative=0
lagoon	sentimentScore=5	numPositive=10	numNegative=0
2hour	sentimentScore=5	numPositive=6	numNegative=0
#sorelaxing	sentimentScore=5	numPositive=7	numNegative=0
basking	sentimentScore=5	numPositive=5	numNegative=0
#motivational	sentimentScore=5	numPositive=33	numNegative=0
#makeitcount	sentimentScore=5	numPositive=5	numNegative=0
brownlee	sentimentScore=5	numPositive=7	numNegative=0
#parenting	sentimentScore=5	numPositive=7	numNegative=0
@crmdealer	sentimentScore=5	numPositive=11	numNegative=0
#network	sentimentScore=5	numPositive=5	numNegative=0
#headup	sentimentScore=5	numPositive=12	numNegative=0
#happyholidays	sentimentScore=5	numPositive=5	numNegative=0
@giannamazzon	sentimentScore=5	numPositive=6	numNegative=0
#poets	sentimentScore=5	numPositive=6	numNegative=0
#justwonderful	sentimentScore=5	numPositive=5	numNegative=0
#yesssss	sentimentScore=5	numPositive=5	numNegative=0
#event	sentimentScore=5	numPositive=5	numNegative=0
#bloggers	sentimentScore=5	numPositive=6	numNegative=0
#resolutions	sentimentScore=5	numPositive=10	numNegative=0
#shellac	sentimentScore=5	numPositive=5	numNegative=0
@darrenbarker82	sentimentScore=5	numPositive=18	numNegative=0
@realpaulwalker	sentimentScore=5	numPositive=5	numNegative=0
@ged	sentimentScore=5	numPositive=6	numNegative=0
#satisfied	sentimentScore=5	numPositive=12	numNegative=0
#myidol	sentimentScore=5	numPositive=11	numNegative=0
hep	sentimentScore=5	numPositive=5	numNegative=0
gordita	sentimentScore=5	numPositive=5	numNegative=0
@piscesareus	sentimentScore=5	numPositive=17	numNegative=0
maybach	sentimentScore=5	numPositive=5	numNegative=0
#lookingforward	sentimentScore=5	numPositive=5	numNegative=0
#tempurpedic	sentimentScore=5	numPositive=6	numNegative=0
soaks	sentimentScore=5	numPositive=6	numNegative=0
rudimental	sentimentScore=5	numPositive=6	numNegative=0
#naturalbeauty	sentimentScore=5	numPositive=5	numNegative=0
#spiffing	sentimentScore=5	numPositive=8	numNegative=0
artistry	sentimentScore=5	numPositive=5	numNegative=0
#shootingstars	sentimentScore=5	numPositive=5	numNegative=0
kappas	sentimentScore=5	numPositive=5	numNegative=0
aaaaaaaand	sentimentScore=5	numPositive=5	numNegative=0
#bbloggers	sentimentScore=5	numPositive=17	numNegative=0
fey	sentimentScore=5	numPositive=6	numNegative=0
1xtra	sentimentScore=5	numPositive=6	numNegative=0
#memoryfoam	sentimentScore=5	numPositive=5	numNegative=0
zucchini	sentimentScore=5	numPositive=12	numNegative=0
@profbriancox	sentimentScore=5	numPositive=7	numNegative=0
#confident	sentimentScore=5	numPositive=23	numNegative=0
@nigella_lawson	sentimentScore=5	numPositive=13	numNegative=0
uke	sentimentScore=5	numPositive=5	numNegative=0
faulkner	sentimentScore=5	numPositive=5	numNegative=0
#partyonwayne	sentimentScore=5	numPositive=16	numNegative=0
norah	sentimentScore=5	numPositive=19	numNegative=0
#lover	sentimentScore=5	numPositive=5	numNegative=0
rousing	sentimentScore=5	numPositive=6	numNegative=0
#progression	sentimentScore=5	numPositive=7	numNegative=0
#pinkfloyd	sentimentScore=5	numPositive=6	numNegative=0
@imashleyroberts	sentimentScore=5	numPositive=8	numNegative=0
#waynesworld	sentimentScore=5	numPositive=146	numNegative=0
@biffy_clyro	sentimentScore=5	numPositive=6	numNegative=0
@properkidprobs	sentimentScore=5	numPositive=6	numNegative=0
attainable	sentimentScore=5	numPositive=7	numNegative=0
paced	sentimentScore=5	numPositive=5	numNegative=0
rupaul	sentimentScore=5	numPositive=8	numNegative=0
@twittarking	sentimentScore=5	numPositive=5	numNegative=0
@sephora	sentimentScore=5	numPositive=5	numNegative=0
#verygood	sentimentScore=5	numPositive=5	numNegative=0
@kelly_clarkson	sentimentScore=5	numPositive=15	numNegative=0
setbacks	sentimentScore=5	numPositive=5	numNegative=0
lovelies	sentimentScore=5	numPositive=9	numNegative=0
copenhagen	sentimentScore=5	numPositive=8	numNegative=0
#refreshed	sentimentScore=5	numPositive=9	numNegative=0
@lucyrosemusic	sentimentScore=5	numPositive=6	numNegative=0
@jheanbunni	sentimentScore=5	numPositive=5	numNegative=0
@kerrileewalsh	sentimentScore=5	numPositive=9	numNegative=0
incredibles	sentimentScore=5	numPositive=6	numNegative=0
pedic	sentimentScore=5	numPositive=9	numNegative=0
#courage	sentimentScore=5	numPositive=6	numNegative=0
#subtle	sentimentScore=5	numPositive=5	numNegative=0
draped	sentimentScore=5	numPositive=5	numNegative=0
derwent	sentimentScore=5	numPositive=5	numNegative=0
#neyo	sentimentScore=5	numPositive=5	numNegative=0
2403	sentimentScore=5	numPositive=6	numNegative=0
#poet	sentimentScore=5	numPositive=12	numNegative=0
#ourgreatestteam	sentimentScore=5	numPositive=14	numNegative=0
#girltime	sentimentScore=5	numPositive=10	numNegative=0
chocolatey	sentimentScore=5	numPositive=6	numNegative=0
#topgear	sentimentScore=5	numPositive=6	numNegative=0
#nobodys	sentimentScore=5	numPositive=5	numNegative=0
dazzling	sentimentScore=5	numPositive=12	numNegative=0
chopin	sentimentScore=5	numPositive=7	numNegative=0
#smiles	sentimentScore=5	numPositive=19	numNegative=0
#sophistication	sentimentScore=5	numPositive=10	numNegative=0
#followher	sentimentScore=5	numPositive=7	numNegative=0
empress	sentimentScore=5	numPositive=5	numNegative=0
@ben_hands	sentimentScore=5	numPositive=8	numNegative=0
#stepuprevolution	sentimentScore=5	numPositive=6	numNegative=0
sculpting	sentimentScore=5	numPositive=5	numNegative=0
@johnlegend	sentimentScore=5	numPositive=5	numNegative=0
#nnq	sentimentScore=5	numPositive=9	numNegative=0
63%	sentimentScore=5	numPositive=6	numNegative=0
@martin_damato	sentimentScore=5	numPositive=6	numNegative=0
michaelson	sentimentScore=5	numPositive=6	numNegative=0
#brillant	sentimentScore=5	numPositive=5	numNegative=0
#skill	sentimentScore=5	numPositive=6	numNegative=0
#livepositiveplus	sentimentScore=5	numPositive=7	numNegative=0
#desirable	sentimentScore=5	numPositive=45	numNegative=0
#fridayfeeling	sentimentScore=5	numPositive=5	numNegative=0
@johnmayer	sentimentScore=5	numPositive=5	numNegative=0
#sunny	sentimentScore=5	numPositive=28	numNegative=0
rainforest	sentimentScore=5	numPositive=7	numNegative=0
@sir_iyke_vgbg	sentimentScore=5	numPositive=5	numNegative=0
@icibeaute	sentimentScore=5	numPositive=15	numNegative=0
@aye_closeyamouf	sentimentScore=5	numPositive=6	numNegative=0
#breathtaking	sentimentScore=5	numPositive=21	numNegative=0
preparations	sentimentScore=5	numPositive=5	numNegative=0
facials	sentimentScore=5	numPositive=6	numNegative=0
#poise	sentimentScore=5	numPositive=18	numNegative=0
raspberries	sentimentScore=5	numPositive=16	numNegative=0
tuxedos	sentimentScore=5	numPositive=7	numNegative=0
@foalsfoalsfoals	sentimentScore=5	numPositive=7	numNegative=0
widest	sentimentScore=5	numPositive=8	numNegative=0
#iminlove	sentimentScore=5	numPositive=9	numNegative=0
mesmerising	sentimentScore=5	numPositive=8	numNegative=0
#stmaxime	sentimentScore=5	numPositive=7	numNegative=0
#exquisite	sentimentScore=5	numPositive=223	numNegative=0
@yolandahfoster	sentimentScore=5	numPositive=5	numNegative=0
u9s	sentimentScore=5	numPositive=5	numNegative=0
#serene	sentimentScore=5	numPositive=5	numNegative=0
@s_c_	sentimentScore=5	numPositive=5	numNegative=0
#simplicity	sentimentScore=5	numPositive=9	numNegative=0
eileen	sentimentScore=5	numPositive=5	numNegative=0
@nikkigiavasis	sentimentScore=5	numPositive=6	numNegative=0
#truetalent	sentimentScore=5	numPositive=5	numNegative=0
#ryangosling	sentimentScore=5	numPositive=9	numNegative=0
@954comedy	sentimentScore=5	numPositive=178	numNegative=0
daiquiri	sentimentScore=5	numPositive=7	numNegative=0
@inikacosmetics	sentimentScore=5	numPositive=5	numNegative=0
goethe	sentimentScore=5	numPositive=7	numNegative=0
#soulmate	sentimentScore=5	numPositive=6	numNegative=0
@joelosteen	sentimentScore=5	numPositive=6	numNegative=0
@eliesaabworld	sentimentScore=5	numPositive=6	numNegative=0
swiped	sentimentScore=5	numPositive=5	numNegative=0
meijer	sentimentScore=5	numPositive=6	numNegative=0
vedder	sentimentScore=5	numPositive=6	numNegative=0
@passengermusic	sentimentScore=5	numPositive=8	numNegative=0
tatties	sentimentScore=5	numPositive=9	numNegative=0
#glamour	sentimentScore=5	numPositive=11	numNegative=0
#houseofcards	sentimentScore=5	numPositive=6	numNegative=0
jhene	sentimentScore=5	numPositive=6	numNegative=0
@benhowardmusic	sentimentScore=5	numPositive=28	numNegative=0
@marinasdiamonds	sentimentScore=5	numPositive=5	numNegative=0
#elegance	sentimentScore=5	numPositive=387	numNegative=0
#yumyum	sentimentScore=5	numPositive=5	numNegative=0
@damianmcginty	sentimentScore=5	numPositive=7	numNegative=0
ringside	sentimentScore=5	numPositive=6	numNegative=0
setter	sentimentScore=5	numPositive=6	numNegative=0
#leadfromwithin	sentimentScore=5	numPositive=6	numNegative=0
#indigenomics	sentimentScore=5	numPositive=6	numNegative=0
#jasonaldean	sentimentScore=5	numPositive=7	numNegative=0
tannin	sentimentScore=5	numPositive=6	numNegative=0
@backstreetboys	sentimentScore=5	numPositive=5	numNegative=0
#bikini	sentimentScore=5	numPositive=7	numNegative=0
@thecrmgod	sentimentScore=5	numPositive=7	numNegative=0
ethos	sentimentScore=5	numPositive=5	numNegative=0
#adventure	sentimentScore=5	numPositive=6	numNegative=0
#meditation	sentimentScore=5	numPositive=5	numNegative=0
@nmeacs	sentimentScore=5	numPositive=59	numNegative=0
talbot	sentimentScore=5	numPositive=5	numNegative=0
>>>>>>>>>>>>>	sentimentScore=5	numPositive=13	numNegative=0
#classy	sentimentScore=5	numPositive=4324	numNegative=47
@lesmiserables	sentimentScore=5	numPositive=12	numNegative=0
#owl	sentimentScore=5	numPositive=6	numNegative=0
#toasty	sentimentScore=5	numPositive=6	numNegative=0
#healty	sentimentScore=5	numPositive=7	numNegative=0
#rewards	sentimentScore=5	numPositive=8	numNegative=0
#channingtatum	sentimentScore=5	numPositive=9	numNegative=0
vollmer	sentimentScore=5	numPositive=5	numNegative=0
flan	sentimentScore=5	numPositive=6	numNegative=0
